time,x,y,z
0.0,-1.0,-1.0,2.0
0.1,-0.97,-0.96,2.02
0.2,-0.94,-0.9199999999999999,2.04
0.30000000000000004,-0.91,-0.88,2.06
0.4,-0.88,-0.84,2.08
0.5,-0.85,-0.8,2.1
0.6000000000000001,-0.82,-0.76,2.12
0.7000000000000001,-0.79,-0.72,2.14
0.8,-0.76,-0.6799999999999999,2.16
0.9,-0.73,-0.6399999999999999,2.18
1.0,-0.7,-0.6,2.2
1.1,-0.6699999999999999,-0.5599999999999999,2.22
1.2000000000000002,-0.6399999999999999,-0.5199999999999999,2.24
1.3,-0.61,-0.48,2.26
1.4000000000000001,-0.58,-0.43999999999999995,2.2800000000000002
1.5,-0.55,-0.3999999999999999,2.3
1.6,-0.52,-0.3599999999999999,2.3200000000000003
1.7000000000000002,-0.49,-0.31999999999999984,2.34
1.8,-0.45999999999999996,-0.2799999999999999,2.36
1.9000000000000001,-0.42999999999999994,-0.23999999999999988,2.38
2.0,-0.4,-0.19999999999999996,2.4
2.1,-0.37,-0.15999999999999992,2.42
2.2,-0.33999999999999997,-0.11999999999999988,2.44
2.3000000000000003,-0.30999999999999994,-0.07999999999999985,2.46
2.4000000000000004,-0.2799999999999999,-0.039999999999999813,2.48
2.5,-0.25,0.0,2.5
2.6,-0.21999999999999997,0.040000000000000036,2.52
2.7,-0.18999999999999995,0.08000000000000007,2.54
2.8000000000000003,-0.15999999999999992,0.1200000000000001,2.56
2.9000000000000004,-0.1299999999999999,0.16000000000000014,2.58
3.0,-0.10000000000000009,0.20000000000000018,2.6
3.1,-0.07000000000000006,0.2400000000000002,2.62
3.2,-0.040000000000000036,0.28000000000000025,2.64
3.3000000000000003,-0.010000000000000009,0.3200000000000003,2.66
3.4000000000000004,0.020000000000000018,0.3600000000000003,2.68
3.5,0.050000000000000044,0.40000000000000013,2.7
3.6,0.08000000000000007,0.44000000000000017,2.72
3.7,0.1100000000000001,0.4800000000000002,2.74
3.8000000000000003,0.14000000000000012,0.5200000000000002,2.7600000000000002
3.9000000000000004,0.17000000000000015,0.5600000000000003,2.7800000000000002
4.0,0.19999999999999996,0.6000000000000001,2.8
4.1000000000000005,0.2300000000000002,0.6400000000000003,2.8200000000000003
4.2,0.26,0.6800000000000002,2.84
4.3,0.2899999999999998,0.72,2.86
4.4,0.32000000000000006,0.7600000000000002,2.88
4.5,0.34999999999999987,0.8,2.9
4.6000000000000005,0.3800000000000001,0.8400000000000003,2.92
4.7,0.4099999999999999,0.8800000000000001,2.94
4.800000000000001,0.44000000000000017,0.9200000000000004,2.96
4.9,0.47,0.9600000000000002,2.98
5.0,0.5,1.0,3.0
