time,x,y,z
0.0,-0.5,0.0,2.2
0.1,-0.45999999999999996,0.03,2.21
0.2,-0.42,0.06,2.22
0.30000000000000004,-0.38,0.09000000000000001,2.23
0.4,-0.33999999999999997,0.12,2.24
0.5,-0.3,0.15,2.25
0.6000000000000001,-0.25999999999999995,0.18000000000000002,2.2600000000000002
0.7000000000000001,-0.21999999999999997,0.21000000000000002,2.27
0.8,-0.17999999999999994,0.24,2.2800000000000002
0.9,-0.13999999999999996,0.27,2.29
1.0,-0.09999999999999998,0.3,2.3000000000000003
1.1,-0.05999999999999994,0.33,2.31
1.2000000000000002,-0.019999999999999907,0.36000000000000004,2.3200000000000003
1.3,0.020000000000000018,0.39,2.33
1.4000000000000001,0.06000000000000005,0.42000000000000004,2.3400000000000003
1.5,0.10000000000000009,0.44999999999999996,2.35
1.6,0.14000000000000012,0.48,2.3600000000000003
1.7000000000000002,0.18000000000000016,0.51,2.37
1.8,0.22000000000000008,0.54,2.3800000000000003
1.9000000000000001,0.2600000000000001,0.5700000000000001,2.39
2.0,0.30000000000000004,0.6,2.4000000000000004
2.1,0.3400000000000001,0.63,2.41
2.2,0.3800000000000001,0.66,2.4200000000000004
2.3000000000000003,0.42000000000000015,0.6900000000000001,2.43
2.4000000000000004,0.4600000000000002,0.7200000000000001,2.4400000000000004
2.5,0.5,0.75,2.45
2.6,0.54,0.78,2.46
2.7,0.5800000000000001,0.81,2.47
2.8000000000000003,0.6200000000000001,0.8400000000000001,2.4800000000000004
2.9000000000000004,0.6600000000000001,0.8700000000000001,2.49
3.0,0.7000000000000002,0.8999999999999999,2.5
3.1,0.7400000000000002,0.9299999999999999,2.5100000000000002
3.2,0.7800000000000002,0.96,2.5200000000000005
3.3000000000000003,0.8200000000000003,0.99,2.5300000000000002
3.4000000000000004,0.8600000000000003,1.02,2.54
3.5,0.9000000000000001,1.05,2.5500000000000003
3.6,0.9400000000000002,1.08,2.56
3.7,0.9800000000000002,1.11,2.5700000000000003
3.8000000000000003,1.0200000000000002,1.1400000000000001,2.58
3.9000000000000004,1.0600000000000003,1.1700000000000002,2.5900000000000003
4.0,1.1,1.2,2.6
4.1000000000000005,1.1400000000000003,1.2300000000000002,2.6100000000000003
4.2,1.1800000000000002,1.26,2.62
4.3,1.22,1.2899999999999998,2.6300000000000003
4.4,1.2600000000000002,1.32,2.64
4.5,1.3,1.3499999999999999,2.6500000000000004
4.6000000000000005,1.3400000000000003,1.3800000000000001,2.66
4.7,1.3800000000000001,1.41,2.6700000000000004
4.800000000000001,1.4200000000000004,1.4400000000000002,2.68
4.9,1.4600000000000002,1.47,2.6900000000000004
5.0,1.5,1.5,2.7
